Дистр.,Привязка в CRM,Значение привязки в CRM,Клиент,ИНН клиента,Регион,Город,Улица,Информация из CRM по ИНН наименование АС,Информация из CRM по ИНН КАМ АС,Информация из CRM Наименование ЕА,Информация из CRM МП ЕА,Регион МП,Регион в CRM по области аптеки
Фармкомплект,5916027419_b030919ad9460dfaecefcffeed765095,"Нытва-Фарм ООО, г.Воткинск, ул.Кирова,78; 5916027419; 427440, Удмуртская Респ, Воткинск г, Кирова ул, дом № 78; 5916027419_b030919ad9460dfaecefcffeed765095",ОПЕКА Нытва-Фарм ООО г.Ижевск,5916027419,Удмуртская респ.,Удмуртия (Ижевск),"427440, Удмуртская Респ, Воткинск г, Кирова ул, дом № 78",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Агроресурсы,511462.00,"АЛЕКС МЕД ООО, г.Оренбург, ул.Мусы Джалиля, д.6; Оренбургская обл; Оренбург г; ул. Мусы Джалиля, д. №6, помещение 7М; 511462.00; 5612161733","АЛЕКС МЕД ООО, г.Оренбург, ул.Мусы Джалиля, д.6",5612161733,Оренбургская обл.,Оренбург г,"ул. Мусы Джалиля, д. №6, помещение 7М",АС ЛПУ НПФО,Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Здравсервис,530398,"530398; 4025419873; ООО ""Аптека-Центр"" (г. Балабаново); Область Калужская р-н Боровский, г Балабаново, ул Боровская, д.56","ООО ""Аптека-Центр"" (г. Балабаново)",4025419873,Калужская обл.,Нет в CRM,"Область Калужская р-н Боровский, г Балабаново, ул Боровская, д.56",МС Созвездие,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,530423,"530423; 2317073139; ООО ""ВИТА"" (Адлер, ул. Свердлова, 45); Адлер ,ул. Свердлова 45","ООО ""ВИТА"" (Адлер, ул. Свердлова, 45)",2317073139,Краснодарский край,Нет в CRM,"Адлер ,ул. Свердлова 45",Вита ООО ,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Здравсервис,530446,"530446; 400489500207; ИП Кузнецова Маргарита Ивановна -2; Область Калужская р-н Дзержинский, с Льва Толстого, ул Пушкина, д.36",ИП Кузнецова Маргарита Ивановна -2,400489500207,Калужская обл.,Нет в CRM,"Область Калужская р-н Дзержинский, с Льва Толстого, ул Пушкина, д.36",ИП Кузнецова М.И.,Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,530448,"530448; 312000085517; ИП Жданова Елена Леонидовна (Шебекино, ул. Харьковская, д.2); Область Белгородская, г Шебекино, ул Харьковская, д.2","ИП Жданова Елена Леонидовна (Шебекино, ул. Харьковская, д.2)",312000085517,Белгородская обл.,Нет в CRM,"Область Белгородская, г Шебекино, ул Харьковская, д.2",МС Созвездие,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,530466,"530466; 2323032860; Абинск ООО ""Кристалл-М""; Абинск, ул.Свободы,1","Абинск ООО ""Кристалл-М""",2323032860,-,Нет в CRM,"Абинск, ул.Свободы,1",Нет в CRM,Нет в CRM,Кристалл-М,krasnodar,Юг России,Нет
Здравсервис,530489,"530489; 2635020395; ООО ""ЭКСОМ-2"" (Ставрополь, ул. Доваторцев, 46а); Ставрополь, ул. Доваторцев, 46а","ООО ""ЭКСОМ-2"" (Ставрополь, ул. Доваторцев, 46а)",2635020395,-,Нет в CRM,"Ставрополь, ул. Доваторцев, 46а",Доктор Чехов (АСНА),Алиев Исмаил,Нет в CRM,Нет в CRM,Нет в CRM,Нет
Здравсервис,530584,"530584; 7702514360; ООО ""ЛКМ-ФАРМА""; Город Москва, ул Тульская Б., д.2","ООО ""ЛКМ-ФАРМА""",7702514360,-,Нет в CRM,"Город Москва, ул Тульская Б., д.2",Нет в CRM,Нет в CRM,ЛКМ-Фарма,ZelAO,Москва,Нет
Здравсервис,530615,"530615; 5038068014; ООО ""Престижная Аптека"" (ул.Первомайская, д.11/8); Область Московская р-н Пушкинский, г Пушкино, ул Первомайская, д.11/8","ООО ""Престижная Аптека"" (ул.Первомайская, д.11/8)",5038068014,МОСКВА,Нет в CRM,"Область Московская р-н Пушкинский, г Пушкино, ул Первомайская, д.11/8",АС Народная аптека  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,530687,"530687; 6168072366; Краснодар ООО ""Фармсоюз-Дешевая аптека"" (№79); Краснодар, ул. Красных Партизан, д. 161/2","Краснодар ООО ""Фармсоюз-Дешевая аптека"" (№79)",6168072366,Краснодарский край,Нет в CRM,"Краснодар, ул. Красных Партизан, д. 161/2",Ростфармснаб-Дешёвая Аптека,Муминова Дина,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Здравсервис,530709,"530709; 5753061587; ООО ""ФАРМА"" г. Орел (ул. Катукова, д.7); Область Орловская, г Орёл, ул Катукова, д.7, пом.4","ООО ""ФАРМА"" г. Орел (ул. Катукова, д.7)",5753061587,-,Нет в CRM,"Область Орловская, г Орёл, ул Катукова, д.7, пом.4",АС ООО Фарма (АСНА),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Нет
Здравсервис,530732,"530732; 7117502407; ООО ""Регион-Фарм"" ап/п №1 (Тула, п.Скуратовский,  ул. Автомобилистов, 26); Область Тульская, г Тула, п.Скуратовский, Автомобилистов, 26","ООО ""Регион-Фарм"" ап/п №1 (Тула, п.Скуратовский,  ул. Автомобилистов, 26)",7117502407,Тульская обл.,Нет в CRM,"Область Тульская, г Тула, п.Скуратовский, Автомобилистов, 26",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,530754,"530754; 366500680200; ИП Еремина Елена Леонидовна  (пр-т Патриотов д.20); Область Воронежская, г Воронеж, пр-кт Патриотов, д.20",ИП Еремина Елена Леонидовна  (пр-т Патриотов д.20),366500680200,Воронежская обл.,Нет в CRM,"Область Воронежская, г Воронеж, пр-кт Патриотов, д.20",АС Реон (АСНА),Ефремов Игорь,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,530797,"530797; 2311105578; ООО ""ВИЛИСА Плюс"" (Аптека №1(Индустриальный, ул. Липовая, 22/Ореховая, 2/2)); Индустриальный, ул. Липовая, 22/Ореховая, 2/2","ООО ""ВИЛИСА Плюс"" (Аптека №1(Индустриальный, ул. Липовая, 22/Ореховая, 2/2))",2311105578,-,Нет в CRM,"Индустриальный, ул. Липовая, 22/Ореховая, 2/2",Вилиса Плюс ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Нет
Здравсервис,530799,"530799; 2311105578; ООО ""ВИЛИСА Плюс"" (Аптека №2 (Краснодар, ул. Восточно-Кругликовская, 22/3)); Краснодар, ул. Восточно-Кругликовская, 22/3","ООО ""ВИЛИСА Плюс"" (Аптека №2 (Краснодар, ул. Восточно-Кругликовская, 22/3))",2311105578,Краснодарский край,Нет в CRM,"Краснодар, ул. Восточно-Кругликовская, 22/3",Вилиса Плюс ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Здравсервис,531033,"531033; 463400414804; ИП Сидорова Е.А. (Курск, ул. М. Горького, д. 55); Область Курская, г Курск, ул Горького, д.55","ИП Сидорова Е.А. (Курск, ул. М. Горького, д. 55)",463400414804,Курская обл.,Нет в CRM,"Область Курская, г Курск, ул Горького, д.55",АС Сидорова ЕА,Ефремов Игорь,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531035,"531035; 5029082870; ООО ""ВЕТЕРАН-ФАРМА""; Область Московская р-н Мытищинский, г Мытищи, ул Мира, д.6","ООО ""ВЕТЕРАН-ФАРМА""",5029082870,МОСКВА,Нет в CRM,"Область Московская р-н Мытищинский, г Мытищи, ул Мира, д.6",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531041,"531041; 5025030246; ООО ""ЛОБНЯ-ФАРМ""; Область Московская, г Лобня, ул Ленина, д.15","ООО ""ЛОБНЯ-ФАРМ""",5025030246,МОСКВА,Нет в CRM,"Область Московская, г Лобня, ул Ленина, д.15",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531049,"531049; 5025030246; ООО ""ЛОБНЯ-ФАРМ"" ш.Лихачевское; Область Московская, г Долгопрудный, ш Лихачевское, д.9","ООО ""ЛОБНЯ-ФАРМ"" ш.Лихачевское",5025030246,МОСКВА,Нет в CRM,"Область Московская, г Долгопрудный, ш Лихачевское, д.9",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531050,"531050; 5029082870; ООО ""ВЕТЕРАН-ФАРМА"" ул.Семашко; Область Московская р-н Мытищинский, г Мытищи, ул Семашко, д.25","ООО ""ВЕТЕРАН-ФАРМА"" ул.Семашко",5029082870,МОСКВА,Нет в CRM,"Область Московская р-н Мытищинский, г Мытищи, ул Семашко, д.25",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531051,"531051; 5025030246; ООО ""ЛОБНЯ-ФАРМ"" ул.Павлова; Область Московская, г Долгопрудный, ул Павлова, д.9","ООО ""ЛОБНЯ-ФАРМ"" ул.Павлова",5025030246,МОСКВА,Нет в CRM,"Область Московская, г Долгопрудный, ул Павлова, д.9",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531052,"531052; 5018126099; ООО ""МАКСИФАРМ""; Область Московская, г Королев, ул Циолковского, д.20/22, пом.IV","ООО ""МАКСИФАРМ""",5018126099,МОСКВА,Нет в CRM,"Область Московская, г Королев, ул Циолковского, д.20/22, пом.IV",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531062,"531062; 5005055010; ООО ""ВОСКРЕСЕНСК-ФАРМ""; Область Московская р-н Воскресенский, г Воскресенск, ул Зелинского, д.3","ООО ""ВОСКРЕСЕНСК-ФАРМ""",5005055010,-,Нет в CRM,"Область Московская р-н Воскресенский, г Воскресенск, ул Зелинского, д.3",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Нет
Здравсервис,531063,"531063; 5027144961; ООО ""СТАНДАРТ-ФАРМ"" г.Дзержинский; Область Московская, г Дзержинский, ул Лесная, д.1","ООО ""СТАНДАРТ-ФАРМ"" г.Дзержинский",5027144961,-,Нет в CRM,"Область Московская, г Дзержинский, ул Лесная, д.1",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Нет
Здравсервис,531115,"531115; 5040093522; ООО ""ЭксФарм"" -9; Область Московская р-н Раменский, г Раменское,пос.Красный Октябрь, д.49, аптека","ООО ""ЭксФарм"" -9",5040093522,МОСКВА,Нет в CRM,"Область Московская р-н Раменский, г Раменское,пос.Красный Октябрь, д.49, аптека","ООО ""Эксфарм""",Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531154,"531154; 5072721890; ООО ""Импульс"" аптека №16 (Серпухов,  ул. Химиков,41а); Область Московская, г Серпухов, ул Химиков, д.41а","ООО ""Импульс"" аптека №16 (Серпухов,  ул. Химиков,41а)",5072721890,Московская обл.,Нет в CRM,"Область Московская, г Серпухов, ул Химиков, д.41а",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Здравсервис,531162,"531162; 7106017279; ООО ""Твой доктор"" аптека №39 (Куркино, ул. Ленина,2); Область Тульская р-н Куркинский, рп Куркино, ул Ленина, д.2","ООО ""Твой доктор"" аптека №39 (Куркино, ул. Ленина,2)",7106017279,Тульская обл.,Нет в CRM,"Область Тульская р-н Куркинский, рп Куркино, ул Ленина, д.2",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531164,"531164; 7117502407; ООО ""Регион-Фарм"" аптека №2 (Калуга, ул. Братьев Луканиных,1); Область Калужская, г Калуга, ул Братьев Луканиных, д.1","ООО ""Регион-Фарм"" аптека №2 (Калуга, ул. Братьев Луканиных,1)",7117502407,Калужская обл.,Нет в CRM,"Область Калужская, г Калуга, ул Братьев Луканиных, д.1",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531169,"531169; 7117502407; ООО ""Регион-Фарм"" аптека №3 (Кременки, ул. Циолковского, 4); Область Калужская р-н Жуковский, г Кременки, ул Циолковского, д.4","ООО ""Регион-Фарм"" аптека №3 (Кременки, ул. Циолковского, 4)",7117502407,Калужская обл.,Нет в CRM,"Область Калужская р-н Жуковский, г Кременки, ул Циолковского, д.4",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531185,"531185; 7105020600; АО ""Фартула"" аптека №19 (Щекино, ул. Ясная, 9); Область Тульская р-н Щекинский, г Щекино, ул Ясная, д.9","АО ""Фартула"" аптека №19 (Щекино, ул. Ясная, 9)",7105020600,Тульская обл.,Нет в CRM,"Область Тульская р-н Щекинский, г Щекино, ул Ясная, д.9",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531197,"531197; 5050087292; ООО ""СТРОЙ-ФАРМ"" ул.Ленина; Область Московская р-н Щелковский, г Щелково, ул Ленина, д.1","ООО ""СТРОЙ-ФАРМ"" ул.Ленина",5050087292,МОСКВА,Нет в CRM,"Область Московская р-н Щелковский, г Щелково, ул Ленина, д.1",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531229,"531229; 7106040020; ООО ""Фармкопилка"" аптека №2 (Тула, ул. Кутузова, 27); Область Тульская, г Тула, ул Кутузова, д.27","ООО ""Фармкопилка"" аптека №2 (Тула, ул. Кутузова, 27)",7106040020,Тульская обл.,Нет в CRM,"Область Тульская, г Тула, ул Кутузова, д.27",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531253,"531253; 4802008724; ООО ""Виктория-Регион"" -2(ул.Бежицкая д.1б); Область Брянская, г Брянск, ул Бежицкая, д.1б","ООО ""Виктория-Регион"" -2(ул.Бежицкая д.1б)",4802008724,Брянская обл.,Нет в CRM,"Область Брянская, г Брянск, ул Бежицкая, д.1б",АС Виктория-Регион,Ефремов Игорь,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531283,"531283; 7716649511; ООО ""СОЦФАРМ"" г.Москва (Братиславская); Город Москва, ул Братиславская, д.18, корп.1","ООО ""СОЦФАРМ"" г.Москва (Братиславская)",7716649511,-,Нет в CRM,"Город Москва, ул Братиславская, д.18, корп.1",АС Эконом (ИП Багаева М.Э.)  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Нет
Здравсервис,531394,"531394; 233500560868; ИП Литвиненко Ф.И. (Кореновск, ул. Красная, д. 129); Кореновск  ул. Красная д.129","ИП Литвиненко Ф.И. (Кореновск, ул. Красная, д. 129)",233500560868,Краснодарский край,Нет в CRM,Кореновск  ул. Красная д.129,Нет в CRM,Нет в CRM,ИП Литвиненко ,krasnodar,Юг России,Юг России
Здравсервис,531437,"531437; 7106040020; ООО ""Фармкопилка"" аптека №1 (Тула, ул. Фрунзе,6); Область Тульская, г Тула, ул Фрунзе, д.6","ООО ""Фармкопилка"" аптека №1 (Тула, ул. Фрунзе,6)",7106040020,Тульская обл.,Нет в CRM,"Область Тульская, г Тула, ул Фрунзе, д.6",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531453,"531453; 7106040020; ООО ""Фармкопилка"" аптека №3 (Тула, ул. Болотова, 69б); Область Тульская, г Тула, ул Болотова, д.69б","ООО ""Фармкопилка"" аптека №3 (Тула, ул. Болотова, 69б)",7106040020,Тульская обл.,Нет в CRM,"Область Тульская, г Тула, ул Болотова, д.69б",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531458,"531458; 7106521782; ООО ""АВС-Фармация"" аптека №14 (Камешково, ул. Ленина,9); Область Владимирская р-н Камешковский, г Камешково, ул Ленина, д.9","ООО ""АВС-Фармация"" аптека №14 (Камешково, ул. Ленина,9)",7106521782,Владимирская обл.,Нет в CRM,"Область Владимирская р-н Камешковский, г Камешково, ул Ленина, д.9",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Здравсервис,531488,"531488; 5005007369; ООО ""Торговая компания ""Тетра"" апт.18; Область Московская р-н Воскресенский, г Воскресенск, ул Октябрьская, д.7, пом.№3","ООО ""Торговая компания ""Тетра"" апт.18",5005007369,Московская обл.,Нет в CRM,"Область Московская р-н Воскресенский, г Воскресенск, ул Октябрьская, д.7, пом.№3",ТК Тетра,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Здравсервис,531508,"531508; 7106040020; ООО ""Фармкопилка"" аптека №4 (Донской, мкр.Северо-Задонск, ул. Ленина,3); Область Тульская, г Донской,мкр.Северо-Задонск, ул.Ленина, д.3","ООО ""Фармкопилка"" аптека №4 (Донской, мкр.Северо-Задонск, ул. Ленина,3)",7106040020,Тульская обл.,Нет в CRM,"Область Тульская, г Донской,мкр.Северо-Задонск, ул.Ленина, д.3",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531609,"531609; 7106040020; ООО ""Фармкопилка"" аптека №5 (Ефремов, ул. Ленина, 28); Область Тульская р-н Ефремовский, г Ефремов, ул Ленина, д.28","ООО ""Фармкопилка"" аптека №5 (Ефремов, ул. Ленина, 28)",7106040020,Тульская обл.,Нет в CRM,"Область Тульская р-н Ефремовский, г Ефремов, ул Ленина, д.28",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531614,"531614; 7106040020; ООО ""Фармкопилка"" аптека №6 (Епифань, Красная площадь,6); Область Тульская р-н Кимовский, рп Епифань, пл Красная, д.6","ООО ""Фармкопилка"" аптека №6 (Епифань, Красная площадь,6)",7106040020,Тульская обл.,Нет в CRM,"Область Тульская р-н Кимовский, рп Епифань, пл Красная, д.6",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531619,"531619; 7105020600; АО ""Фартула"" аптека №22 (Воловский р-н, п.Волово, ул. Ленина, 54а); Область Тульская р-н Воловский,  , п Волово, ул Ленина, д.54а","АО ""Фартула"" аптека №22 (Воловский р-н, п.Волово, ул. Ленина, 54а)",7105020600,Тульская обл.,Нет в CRM,"Область Тульская р-н Воловский,  , п Волово, ул Ленина, д.54а",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531629,"531629; 7117502407; ООО ""Регион-Фарм"" аптека №4 (Калуга, ул. Луначарского -конечная, фабрика Калужанка); Область Калужская, г Калуга, ул Луначарского,(конечная Фабрика Калужанка)","ООО ""Регион-Фарм"" аптека №4 (Калуга, ул. Луначарского -конечная, фабрика Калужанка)",7117502407,Калужская обл.,Нет в CRM,"Область Калужская, г Калуга, ул Луначарского,(конечная Фабрика Калужанка)",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531634,"531634; 7117502407; ООО ""Регион-Фарм"" аптека №5 (Калуга, ул. Малоярославецкая, 6); Область Калужская, г Калуга, ул Малоярославецкая, д.6","ООО ""Регион-Фарм"" аптека №5 (Калуга, ул. Малоярославецкая, 6)",7117502407,Калужская обл.,Нет в CRM,"Область Калужская, г Калуга, ул Малоярославецкая, д.6",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531692,"531692; 3234049462; ООО ""Доктор"" г.Брянск 4(ул.Бежицкая,д.1/4); Область Брянская, г Брянск, ул Бежицкая, д.1/4","ООО ""Доктор"" г.Брянск 4(ул.Бежицкая,д.1/4)",3234049462,-,Нет в CRM,"Область Брянская, г Брянск, ул Бежицкая, д.1/4",АС Доктор Брянск,Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Нет
Здравсервис,531709,"531709; 462501259543; ИП Брусенцева Алевтина Алексеевна; Область Курская р-н Фатежский, г Фатеж, ул Загородняя, д.24",ИП Брусенцева Алевтина Алексеевна,462501259543,Курская обл.,Нет в CRM,"Область Курская р-н Фатежский, г Фатеж, ул Загородняя, д.24",Нет в CRM,Нет в CRM,ЕА Брусенцева А.А,kursk,Центр,Центр
Здравсервис,531714,"531714; 3234049462; ООО ""Доктор"" г.Брянск 13(ул.Литейная,д.74); Область Брянская, г Брянск, ул Литейная, д.74","ООО ""Доктор"" г.Брянск 13(ул.Литейная,д.74)",3234049462,Брянская обл.,Нет в CRM,"Область Брянская, г Брянск, ул Литейная, д.74",АС Доктор Брянск,Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531754,"531754; 5038119318; ООО ""Макди-Аптека""; Область Московская р-н Пушкинский, дп Ашукино, ул Железнодорожная, д.2Б, стр.9","ООО ""Макди-Аптека""",5038119318,МОСКВА,Нет в CRM,"Область Московская р-н Пушкинский, дп Ашукино, ул Железнодорожная, д.2Б, стр.9",АС Народная аптека  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531757,"531757; 5038119318; ООО ""Макди-Аптека"" п.Зеленоградский; Область Московская р-н Пушкинский, дп Зеленоградский, ул Шоссейная, д.12","ООО ""Макди-Аптека"" п.Зеленоградский",5038119318,-,Нет в CRM,"Область Московская р-н Пушкинский, дп Зеленоградский, ул Шоссейная, д.12",АС Народная аптека  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Нет
Здравсервис,531758,"531758; 5038119318; ООО ""Макди-Аптека"" п.Софрино; Область Московская р-н Пушкинский, рп Софрино, ул Тютчева, д.вл.№17, стр.№1","ООО ""Макди-Аптека"" п.Софрино",5038119318,МОСКВА,Нет в CRM,"Область Московская р-н Пушкинский, рп Софрино, ул Тютчева, д.вл.№17, стр.№1",АС Народная аптека  (АСНА),Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,531830,"531830; 5005007369; ООО ""Торговая компания ""Тетра"" апт.19; Область Московская р-н Луховицкий, г Луховицы, ул Гагарина, д.16","ООО ""Торговая компания ""Тетра"" апт.19",5005007369,Московская обл.,Нет в CRM,"Область Московская р-н Луховицкий, г Луховицы, ул Гагарина, д.16",ТК Тетра,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Здравсервис,531849,"531849; 7716703656; ООО ""ФК Импульс""; Город Москва, ул Дубнинская, д.12Б, стр.10","ООО ""ФК Импульс""",7716703656,-,Нет в CRM,"Город Москва, ул Дубнинская, д.12Б, стр.10",АС ВекФарм Москва,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Нет
Здравсервис,531856,"531856; 7106040020; ООО ""Фармкопилка"" аптека №7 (Новомосковск, ул. Садовского, д.14); Область Тульская р-н Новомосковский, г Новомосковск, ул Садовского, д.14","ООО ""Фармкопилка"" аптека №7 (Новомосковск, ул. Садовского, д.14)",7106040020,Тульская обл.,Нет в CRM,"Область Тульская р-н Новомосковский, г Новомосковск, ул Садовского, д.14",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,531910,"531910; 2310096546; ООО ""Притяжение"" (Аптечный пункт №23 (Краснодар, ул. Московская, 128/проезд Ангарский, 2)); Краснодар, ул. Московская, д. 128/проезд Ангарский, д.2","ООО ""Притяжение"" (Аптечный пункт №23 (Краснодар, ул. Московская, 128/проезд Ангарский, 2))",2310096546,Краснодарский край,Нет в CRM,"Краснодар, ул. Московская, д. 128/проезд Ангарский, д.2",СА Лаки Фарма АС Притяжение ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Здравсервис,531968,"531968; 7722319430; ООО ""Диалог Восток""; Область Московская, мкрн.Железнодорожный, г Балашиха, ул Новая, д.9","ООО ""Диалог Восток""",7722319430,МОСКВА,Нет в CRM,"Область Московская, мкрн.Железнодорожный, г Балашиха, ул Новая, д.9",АС Диалог-Столица,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,532030,"532030; 3123221541; ООО ""ФармаЛек"" (г.Ст.Оскол, пр-т Комсомольский, д.33); Область Белгородская, г Старый Оскол, пр-кт Комсомольский, д.33","ООО ""ФармаЛек"" (г.Ст.Оскол, пр-т Комсомольский, д.33)",3123221541,Белгородская обл.,Нет в CRM,"Область Белгородская, г Старый Оскол, пр-кт Комсомольский, д.33",АС Фармалек,Ефремов Игорь,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Здравсервис,532120,"532120; 110701459602; ИП Новикова Е.А.; Область Воронежская, г Воронеж, ул 45 стрелковой дивизии, д.247е",ИП Новикова Е.А.,110701459602,-,Нет в CRM,"Область Воронежская, г Воронеж, ул 45 стрелковой дивизии, д.247е",Нет в CRM,Нет в CRM,ЕА ИП Новикова Е.А.,voronezh,Центр,Нет
Здравсервис,532132,"532132; 9718001543; ООО ""МосЗдравГольяново""; Город Москва, ул Хабаровская, д.12/23","ООО ""МосЗдравГольяново""",9718001543,МОСКВА,Нет в CRM,"Город Москва, ул Хабаровская, д.12/23",АС ЭкономЪ,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Москва
Здравсервис,532218,"532218; 2321011600; ООО ""ЦКУ ""Медея"" а/п №23 (Ахтырский, ул. Свободы, 4К); Ахтырский, ул. Свободы, д. 4К","ООО ""ЦКУ ""Медея"" а/п №23 (Ахтырский, ул. Свободы, 4К)",2321011600,Краснодарский край,Нет в CRM,"Ахтырский, ул. Свободы, д. 4К",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Здравсервис,532222,"532222; 7734254940; ООО ""АПТЕКА ""ФОРТЕ"" Москва-5; Город Москва, ул Изумрудная, д.6","ООО ""АПТЕКА ""ФОРТЕ"" Москва-5",7734254940,Московская обл.,Нет в CRM,"Город Москва, ул Изумрудная, д.6",МС Созвездие,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Здравсервис,532242,"532242; 2318023846; Сочи ООО ""САТУРН"" (Лазаревский район, ул. Курская, 47/1); Волконка,  Лазаревский район ул. Курская 47/1","Сочи ООО ""САТУРН"" (Лазаревский район, ул. Курская, 47/1)",2318023846,Краснодарский край,Нет в CRM,"Волконка,  Лазаревский район ул. Курская 47/1",Нет в CRM,Нет в CRM,ООО Сатурн,sochi,Юг России,Юг России
Здравсервис,532282,"532282; 2333008433; ООО ""t-36,6"" (Гривенская, ул. Рыночная, д.3); Гривенская, ул. Рыночная, д. 3","ООО ""t-36,6"" (Гривенская, ул. Рыночная, д.3)",2333008433,-,Нет в CRM,"Гривенская, ул. Рыночная, д. 3",Т-36.6 ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Нет
